correction_id,date,date_confidence,type,initial_understanding,what_was_wrong,corrected_understanding,reapplication,reapplication_type
T-A01,2026-04-30,추정,A,"RAN = Router A Network의 약자? 기지국 맞지?","약자가 틀림","RAN = Radio Access Network(무선 접속망). 기지국·안테나·신호처리 장비 통칭","같은 세션 후반 vRAN 상용화 질문(#19)에서 RAN 개념을 올바르게 사용",self
T-A02,2026-04-30,추정,A,"전봇대 대신 공중에서(고층빌딩 이용) 해결한 게 RAN — AI가 그렇게 말했다고 기억","RAN을 배치 전략으로 오해. AI가 그렇게 말한 적 없음 — 기억 재구성 오류","RAN은 배포 전략이 아니라 장비 체계 자체","#18에서 RAN=물리 장비라는 교정된 전제 위에서 vRAN 가상화를 추론",self
T-A03,2026-04-30,추정,A,"vRAN = BIOS(펌웨어) 역할을 가상화하는 것","가상화 대상이 BIOS가 아님","가상화 대상은 baseband 신호처리 SW(변조/복조/오류정정). 범용 서버에 올려 기지국 두뇌로","기록 없음 — 대화가 시장 질문으로 전환됨",none
T-B01,2026-04-30,추정,B,"AI: 분석적·도전적 면접 질문 35개 자체 설계 (컨설팅 케이스면접 톤)","A사 공채 구조화면접의 실제 톤과 불일치","YJ 지적('되게 별로다') 후 전형적 질문으로 전면 교체","해당 없음 (AI 산출물 교정)",output
T-C01,2026-04-30,추정,C,"AI: 압박질문 대비·킬러 멘트 방향으로 코칭","A사는 압박면접 없음. 인사이트 과시가 아니라 전형적 면접을 전형적으로 잘하는 게 핵심","딜리버리 5원칙 + 1분 자기소개 연습으로 방향 전환","기록 없음 — 연습 시작 전 대화 종료",none
T-C02,2026-04-30,추정,C,"AI: 모의면접 질문 톤을 자체 설계","실제 면접 유형과 괴리","전형적 구조화면접 질문으로 전면 교체 반영","AI 산출물에 반영됨",output
A01,2026-08-04,확정,A,"제품 믹스 = 제품군(HBM, DDR5 같은 라인업)","믹스는 '무엇을 파느냐'가 아니라 '무엇을 얼마나 파느냐'. 대상이 아니라 비율","제품군별 판매 비중. 개별 가격이 불변이어도 비중만 바뀌면 블렌디드 ASP가 움직인다","2026-08-13 Q3-B에서 믹스 개념을 토대로 3층 구조(제품군 간/제품군 내/고객 믹스)까지 확장 — 부분 재적용",self-partial
A02,2026-08-04,확정,A,"고종횡비 = 아직 도입 안 한 신기술이며 미채택 이유가 있을 것","안 쓴 게 아니라 20년 넘게 계속 올려온 기존 방식","고종횡비는 이미 한계까지 밀어붙인 방식. 식각·구조붕괴·증착·원가 네 벽에 막혀 high-k·3D D램이 다음 카드","기록 없음",none
A03,2026-08-13,확정,A,"(Q3-B 확인문제 답변 중) 전체 단가 하락은 원가율상 불가능해 보임","메모리 가격은 원가가 아니라 수급이 정한다. 2023 다운사이클에 원가 이하로도 팔린 사실이 원가-마진 논리의 반증","지금 하락이 어려운 건 원가 때문이 아니라 공급이 규제·HBM 잠식으로 묶여 있고 수요가 CapEx로 확정돼 있기 때문","기록 없음",none
A04,2026-08-13,확정,A,"(Q3-B 확인문제 답변 중) 레거시가 HBM보다 더 빠르게 증가하면 ASP 하락","비중의 합은 100%. HBM 비중이 올랐다면 나머지 전체 비중은 내려감 — 비중과 절대량의 혼동","정확한 서술은 '레거시가 중간 등급(서버 DDR5)을 대체했다'. 믹스는 제품군 간/제품군 내 세대·단수/고객 믹스의 3층","기록 없음",none
B01,2026-08-04,확정,B,"AI: VEU 철회 후 건별 개별 허가로 전환","연간 승인 체계로의 완화가 누락됨","424B4 원문 'annual approval mechanism' / 'granted us an annual license for 2026'으로 확정","리포트·단권화에 연간 허가제로 반영",output
B02,2026-08-05,확정,B,"AI: 232조 1단계 관세에 D램·HBM 포함 (언론 보도 수용)","Proclamation 11002 Annex의 HTS 목록은 8471.50/8471.80/8473.30 셋뿐. 메모리(8542)는 대상 아님","메모리는 232조 1단계 과세 대상 아님. 로직 IC 또는 이를 포함한 완제품만","문서 4종 소급 수정 + 'HBM 대역폭이 GPU 관세 여부를 가른다' 신규 논점 도출",output
B03,2026-08-05,확정,B,"AI: 리포트에 '232조 D램 포함 여부는 보도가 엇갈림'을 미결 쟁점으로 남긴 채 완성","1차 자료로 닫을 수 있는 문제를 열어둠","YJ가 포고령 원문 확인을 우선순위 1번으로 지정 → 미결 쟁점 해소","기록 없음",none
C01,2026-08-03,확정,C,"AI: A사 서류합격 자소서 원본을 읽지 않고 하이닉스 지원동기 초안 작성","서류를 통과한 기존 자산 분석 없이 신규 작성 시도","원본 직독 후 작성이 규칙화됨 (메모리 저장)","이후 모든 문서 작업에 원본 선행 독해 적용",output
C02,2026-08-03,확정,C,"AI: 지원동기를 경력 소개로 시작","읽는 사람 관점에서 '왜 이 회사'가 먼저 와야 함","산업 국면 → 직무 정의 → 경험(짧게) → 얻으려는 것 순서로 재배열","YJ 본인이 다듬은 Q20 최종안이 교정된 구조를 따름 (2026-08-03~04)",self
C03,2026-08-03,확정,C,"AI: 번역투·대구 남발·교훈 반복의 한국어 초안","문단마다 교훈, 대구 남용, 추상 동사, 단조로운 종결","교훈 문단당 1회, 대구 삭제, 구체 동사, 소제목 활용 규칙 수립","기록 없음",none
C04,2026-08-04,확정,C,"AI: 리서치 후 종합·해석까지 단독 수행","AI는 수집은 잘하나 큰 그림(종합)이 약함 — YJ 진단","1차 자료 원문 인용 병기로 현황만 보고, 방향 판단은 YJ가 수행하는 역할 분담","이후 VEU·컨콜·F-1 리서치 전체가 이 방식으로 진행",self
C05,2026-08-05,확정,C,"AI: GDGoC 대시보드를 성공 사례로 서술 시도","실제로는 정착 실패 (핵심 사용자 미채택, 가용 인력 이탈)","YJ가 실패 사실을 먼저 밝힘 → 실패-학습 서사로 전환","기록 없음",none
C06,2026-08-06,확정,C,"AI: 영업/마케팅 + 경영전략 병행 지원 반복 제안","SK는 시즌당 전 계열사·전 직무 통틀어 1인 1지원","병행 지원 불가. 영업/마케팅이 유일 카드","문서·메모리 수정, 이후 제안 중단",output
B04,2026-08-17,확정,B,"AI: 8/13 속보는 '8/20 접수 시작', 8/14 녹취는 '8월 22일 공고 오픈'으로 상충 — 미확정으로 두고 8/20부터 SK Careers 매일 확인 권고",확정 가능한 사실을 미확정으로 남김. 녹취는 STT 산출물이므로 공식 속보와 충돌할 때 받아쓰기 오기 가능성을 먼저 검토해야 했음. B03과 동일한 실패 패턴의 재발(12일 간격),공고 오픈 8/20 확정. 녹취의 '8월 22일'은 STT 오기. 자료 등급이 다른 두 소스가 충돌하면 등급이 낮은 쪽의 산출 오류를 먼저 의심한다,분석노트 v2에서 8/20 확정으로 수정하고 미확정 목록에서 제거 완료,output
C07,2026-08-17,확정,C,AI: 95분 채용설명회 녹취 전문을 제공받은 뒤 분석노트를 요약형으로 작성,전문을 받았음에도 채용프로세스 전후 비교·하프데이 4개 프로그램의 진행 방식·3대 미래역량의 원문 정의가 요약 과정에서 소실. 전문 제공이 곧 전문 반영은 아니었음. YJ가 원문 대조로 적발,"평가 기준이 되는 발언은 요약하지 않고 원문 인용으로 보존하고, 해석은 인용과 분리해 표기한다. 요약형 산출물은 원문 대조 검수를 거친다","분석노트 v2 전면 재작성 — 담당자·현직자 발언 원문 인용 + '해석' 블록 분리, 분량 약 3배",output
C08,2026-08-17,확정,C,AI: 사내학술대회 운영요원 경험을 'A사 소비자제품 카드를 대체하는 유일한 직접 접점'으로 평가하고 관찰 디테일 3건(임원 행동·실무 내용·발표 분위기)을 요구,보안상 스탭도 발표장에 출입할 수 없었다는 접근 제약을 확인하지 않고 소재 비중을 높게 배정. 발표 주제·수준·분위기는 애초에 관찰 불가이며 기재 자체가 보안 위반,접점의 존재가 아니라 실제 관찰 가능 범위가 소재 가치를 결정한다. 지원서에는 입장등록 담당 사실 한 문장만. 발표 내용은 기재 금지,한 문장 초안 2종 제시. 분석노트 9-1 소재 지위 격하 반영은 8/20 JD 확인 시 통합 갱신 예정 — 미완,none
B05,2026-08-17,확정,B,AI: 지원서 축② 소재를 B(학습 시스템 5종)와 A(A사 사업부 PT 분석) 중 하나로 택하라는 4개 후보 비교표 제시,"두 소재가 배타적일 필요가 없음. 4월 학습 인프라 구축 → 5월 분석 과업 수행의 시간 순서라 중첩이 자연스러우며, B의 약한 ③성과를 A가 채우는 보완 관계. YJ가 '굳이 둘 중 하나만 선택해야 하나?'로 반문","B를 틀, A를 그 안의 최대 예시로 중첩. AI가 제시한 선택지가 배타적이라는 전제를 먼저 검증한다",중첩 구조 재설계안 제시. 분석노트 9-2 비교표 반영은 미완,none
B06,2026-08-17,확정,B,AI: 타사 맥락을 피하려면 같은 방법론을 메모리 산업에 재수행해 8/19까지 신규 분석 1건을 생산하자고 제안(3안),이미 2026-08-04에 하이닉스를 대상으로 수행한 「규제가 계약을 바꾼다」와 「미중 통상환경 정리」가 존재. 프로젝트 지식에 등재되지 않은 자산을 존재하지 않는 것으로 취급해 중복 작업을 제안,재수행 불필요. 기존 리포트가 요건을 이미 충족하며 필요한 작업은 신규 생산이 아니라 갱신. 작업 제안 전 보유 자산 인벤토리를 먼저 확인한다,자산 인벤토리에 두 리포트 등재 필요 — 미완,none
A05,2026-08-17,확정,A,YJ: 지원서 축② 주제를 'SK하이닉스 supply chain 한·미·중 3축 분석'으로 잡자,'3축을 분석했다'는 분석 범위 진술이지 문제 정의가 아님. 평가 기준은 '해결해야 할 문제를 정확하게 정의했는가'. 또한 리포트 실제 내용에서 한국 축은 '국내 캐파가 공급의 전부'라는 결론 한 줄로만 존재해 3축이 비대칭,문제는 '국내 2차 자료(언론 보도)에 사실 오류가 있어 1차 자료로 내려가야 했다'. 3축은 문제가 아니라 분석 결과의 구조 — 세 나라가 서로 다른 것을 막고 그 합력이 국내 캐파에 몰린다는 명제로 재배치,YJ가 '2차자료 기사 오보'를 문제로 재진술하고 다음 작업 지시에 반영 — 단 동일 세션 내 재진술이며 실제 지원서 문항 작성 시 재확인 필요,self-partial
A06,2026-08-17,확정,A,YJ 리포트(2026-08-04): 관세의 법적 근거 이동을 'IEEPA(대법원 무효) → 무역법 122조'로 정리하고 '근거 법률이 세 번 바뀐다'로 서술,"2026-05-07 미 국제무역법원(CIT)의 122조 위법 판결(2-1)이 누락. 8/4 작성 시점에 이미 존재한 사실이며, 5/12 연방순회항소법원 행정적 정지로 징수만 유지된 상태였음. 오개념이 아니라 미수집","근거 이동은 4단계 — IEEPA(대법원 무효) → 122조(CIT 위법, 항소로 집행 유지) → 2026-07-24 150일 만료 → Section 301 강제노동 관세(10~12.5%)로 대체. 232조는 CIT 판결의 영향을 받지 않음이 판결문에 명시",리포트 v2 갱신 예정 — 미완,none
