correction_id,date,date_confidence,type,initial_understanding,what_was_wrong,corrected_understanding,reapplication,reapplication_type
T-A01,2026-04-30,추정,A,"RAN = Router A Network의 약자? 기지국 맞지?","약자가 틀림","RAN = Radio Access Network(무선 접속망). 기지국·안테나·신호처리 장비 통칭","같은 세션 후반 vRAN 상용화 질문(#19)에서 RAN 개념을 올바르게 사용",self
T-A02,2026-04-30,추정,A,"전봇대 대신 공중에서(고층빌딩 이용) 해결한 게 RAN — AI가 그렇게 말했다고 기억","RAN을 배치 전략으로 오해. AI가 그렇게 말한 적 없음 — 기억 재구성 오류","RAN은 배포 전략이 아니라 장비 체계 자체","#18에서 RAN=물리 장비라는 교정된 전제 위에서 vRAN 가상화를 추론",self
T-A03,2026-04-30,추정,A,"vRAN = BIOS(펌웨어) 역할을 가상화하는 것","가상화 대상이 BIOS가 아님","가상화 대상은 baseband 신호처리 SW(변조/복조/오류정정). 범용 서버에 올려 기지국 두뇌로","기록 없음 — 대화가 시장 질문으로 전환됨",none
T-B01,2026-04-30,추정,B,"AI: 분석적·도전적 면접 질문 35개 자체 설계 (컨설팅 케이스면접 톤)","A사 공채 구조화면접의 실제 톤과 불일치","YJ 지적('되게 별로다') 후 전형적 질문으로 전면 교체","해당 없음 (AI 산출물 교정)",output
T-C01,2026-04-30,추정,C,"AI: 압박질문 대비·킬러 멘트 방향으로 코칭","A사는 압박면접 없음. 인사이트 과시가 아니라 전형적 면접을 전형적으로 잘하는 게 핵심","딜리버리 5원칙 + 1분 자기소개 연습으로 방향 전환","기록 없음 — 연습 시작 전 대화 종료",none
T-C02,2026-04-30,추정,C,"AI: 모의면접 질문 톤을 자체 설계","실제 면접 유형과 괴리","전형적 구조화면접 질문으로 전면 교체 반영","AI 산출물에 반영됨",output
A01,2026-08-04,확정,A,"제품 믹스 = 제품군(HBM, DDR5 같은 라인업)","믹스는 '무엇을 파느냐'가 아니라 '무엇을 얼마나 파느냐'. 대상이 아니라 비율","제품군별 판매 비중. 개별 가격이 불변이어도 비중만 바뀌면 블렌디드 ASP가 움직인다","2026-08-13 Q3-B에서 믹스 개념을 토대로 3층 구조(제품군 간/제품군 내/고객 믹스)까지 확장 — 부분 재적용",self-partial
A02,2026-08-04,확정,A,"고종횡비 = 아직 도입 안 한 신기술이며 미채택 이유가 있을 것","안 쓴 게 아니라 20년 넘게 계속 올려온 기존 방식","고종횡비는 이미 한계까지 밀어붙인 방식. 식각·구조붕괴·증착·원가 네 벽에 막혀 high-k·3D D램이 다음 카드","기록 없음",none
A03,2026-08-13,확정,A,"(Q3-B 확인문제 답변 중) 전체 단가 하락은 원가율상 불가능해 보임","메모리 가격은 원가가 아니라 수급이 정한다. 2023 다운사이클에 원가 이하로도 팔린 사실이 원가-마진 논리의 반증","지금 하락이 어려운 건 원가 때문이 아니라 공급이 규제·HBM 잠식으로 묶여 있고 수요가 CapEx로 확정돼 있기 때문","기록 없음",none
A04,2026-08-13,확정,A,"(Q3-B 확인문제 답변 중) 레거시가 HBM보다 더 빠르게 증가하면 ASP 하락","비중의 합은 100%. HBM 비중이 올랐다면 나머지 전체 비중은 내려감 — 비중과 절대량의 혼동","정확한 서술은 '레거시가 중간 등급(서버 DDR5)을 대체했다'. 믹스는 제품군 간/제품군 내 세대·단수/고객 믹스의 3층","기록 없음",none
B01,2026-08-04,확정,B,"AI: VEU 철회 후 건별 개별 허가로 전환","연간 승인 체계로의 완화가 누락됨","424B4 원문 'annual approval mechanism' / 'granted us an annual license for 2026'으로 확정","리포트·단권화에 연간 허가제로 반영",output
B02,2026-08-05,확정,B,"AI: 232조 1단계 관세에 D램·HBM 포함 (언론 보도 수용)","Proclamation 11002 Annex의 HTS 목록은 8471.50/8471.80/8473.30 셋뿐. 메모리(8542)는 대상 아님","메모리는 232조 1단계 과세 대상 아님. 로직 IC 또는 이를 포함한 완제품만","문서 4종 소급 수정 + 'HBM 대역폭이 GPU 관세 여부를 가른다' 신규 논점 도출",output
B03,2026-08-05,확정,B,"AI: 리포트에 '232조 D램 포함 여부는 보도가 엇갈림'을 미결 쟁점으로 남긴 채 완성","1차 자료로 닫을 수 있는 문제를 열어둠","YJ가 포고령 원문 확인을 우선순위 1번으로 지정 → 미결 쟁점 해소","기록 없음",none
C01,2026-08-03,확정,C,"AI: A사 서류합격 자소서 원본을 읽지 않고 하이닉스 지원동기 초안 작성","서류를 통과한 기존 자산 분석 없이 신규 작성 시도","원본 직독 후 작성이 규칙화됨 (메모리 저장)","이후 모든 문서 작업에 원본 선행 독해 적용",output
C02,2026-08-03,확정,C,"AI: 지원동기를 경력 소개로 시작","읽는 사람 관점에서 '왜 이 회사'가 먼저 와야 함","산업 국면 → 직무 정의 → 경험(짧게) → 얻으려는 것 순서로 재배열","YJ 본인이 다듬은 Q20 최종안이 교정된 구조를 따름 (2026-08-03~04)",self
C03,2026-08-03,확정,C,"AI: 번역투·대구 남발·교훈 반복의 한국어 초안","문단마다 교훈, 대구 남용, 추상 동사, 단조로운 종결","교훈 문단당 1회, 대구 삭제, 구체 동사, 소제목 활용 규칙 수립","기록 없음",none
C04,2026-08-04,확정,C,"AI: 리서치 후 종합·해석까지 단독 수행","AI는 수집은 잘하나 큰 그림(종합)이 약함 — YJ 진단","1차 자료 원문 인용 병기로 현황만 보고, 방향 판단은 YJ가 수행하는 역할 분담","이후 VEU·컨콜·F-1 리서치 전체가 이 방식으로 진행",self
C05,2026-08-05,확정,C,"AI: GDGoC 대시보드를 성공 사례로 서술 시도","실제로는 정착 실패 (핵심 사용자 미채택, 가용 인력 이탈)","YJ가 실패 사실을 먼저 밝힘 → 실패-학습 서사로 전환","기록 없음",none
C06,2026-08-06,확정,C,"AI: 영업/마케팅 + 경영전략 병행 지원 반복 제안","SK는 시즌당 전 계열사·전 직무 통틀어 1인 1지원","병행 지원 불가. 영업/마케팅이 유일 카드","문서·메모리 수정, 이후 제안 중단",output
